"stimulus","prob","logit"
322,0.598585239234839,0.39957372740927
2725,0.389164179023634,-0.450826909000138
3775,0.608190685379088,0.439713180918217
3819,0.896521624173251,2.15915975174951
4094,0.300272919410134,-0.845998581678387
4504,0.435797161083012,-0.258236922088074
4584,0.797487621457754,1.37066529957347
4701,0.0578354014003606,-2.79057892326944
5938,0.687120563544894,0.78669184032044
6046,0.16254401779273,-1.63941985994623
6366,0.268163012259212,-1.00396274452056
6474,0.569966912121368,0.281716155951633
7784,0.886541162177799,2.05588744788888
9977,0.952179986224668,2.99130982798546
10879,0.0792559850300676,-2.45249912434567
11143,0.146465172361921,-1.76259867819387
11299,0.0203053867034411,-3.87635469831947
13165,0.789411493373032,1.32138169896438
